,season,episode,friend,script
0,season2,201rng,Phoebe," Ok, so this is pretty much what's happened so far. Ross was in love with
Rachel since, you know, forever, but every time he tried to tell her, something kind of
got in the way, like cats, and Italian guys. Finally Chandler was like ""forget about
her"" but when Ross was in China on his dig, Chandler let it slip that Ross was in
love with Rachel. She was like, ""Oh my god."" So she went to the airport to meet
him when he came back, but what she didn't know was, that Ross was getting off the plane
with another woman. Uh-Oh! So, that's pretty much everything you need to know. But, enough
about us. So, how've you been?"
0,season2,201rng,Rachel," Oh my god. Oh my god. (She decides to make a break for it.) Excuse me.
Move! Move! Emergency! Excuse me! (She tries climbing over a bench and falls down.) "
0,season2,201rng,Ross, (seeing her) Rach!
0,season2,201rng,Rachel," Oh, there you are! Hi! Oh, so, so, how was China, you? (Hits him with
the flowers.)"
0,season2,201rng,Ross," It was, it was great. Oh, what happened?"
0,season2,201rng,Rachel, What?
0,season2,201rng,Ross, You're bleeding. 
0,season2,201rng,Rachel," I am? Oh, look at that, yes I am. Enough about me, enough about me, Mr.
Back from the Orient. Come on. I wanna hear everything! Everything. (Looks at Julie)"
0,season2,201rng,Ross," Well, where do I start? This is Julie. Julie, this is Rachel."
0,season2,201rng,Rachel," These are, these aren't for you. (to Julie) These are for you. (Loudly,
thinking she can't speak English.) Welcome to our country."
0,season2,201rng,Julie," (Loudly, proving she can speak English.) Thank you. I'm from New York."
0,season2,201rng,Rachel," Ok, well, not a problem. We'll just use them to stop the bleeding. Ok.
Baggage claim? Ok."
0,season2,201rng,Chandler,  No way!
0,season2,201rng,Monica," I'm telling you, she went to the airport, and she's gonna go for it with
Ross! "
0,season2,201rng,Phoebe," Oh my god. This is huge. This is bigger than huge. This is like, all
right, what's bigger than huge?"
0,season2,201rng,Joey," Um, this?"
0,season2,201rng,Phoebe, Yes.
0,season2,201rng,Monica," Guys, you got your hair cut."
0,season2,201rng,Chandler," Yes, yes, we did, thanks to Vidal Buffay."
0,season2,201rng,Phoebe," 'Cause, you know, (in that voice) if you don't look good, we don't look
good. I love that voice."
0,season2,201rng,Rachel," (entering, out of breath) Airport, airport. Ross, not alone, Julie, arm
around her. Cramp, cramp."
0,season2,201rng,Chandler," Ok, I think she's trying to tell us something. Quick, get the verbs."
0,season2,201rng,Rachel," (to Chandler) You, you, you said he liked me. (Ross and Julie enter)
You, you slowpokes!"
0,season2,201rng,Ross," That's all right, Rach, we got the bags. Hi, hello. Julie, this is my
sister Monica. This is Chandler.  Phoebe.  Joey, what up?"
0,season2,201rng,Joey, What up?!
0,season2,201rng,Ross," Everyone, this is Julie."
0,season2,201rng,Rachel, (out of breath) Julie.
0,season2,201rng,All, Ohh. (Happily) Hi!
0,season2,201rng,Julie," Hi, but I'm not here, you haven't met me. I'll make a much better first
impression tomorrow when I don't have 20 hours of cab and plane on me."
0,season2,201rng,Ross, And bus.
0,season2,201rng,Julie, Oh my god.
0,season2,201rng,Ross,  The screaming guy?
0,season2,201rng,Julie,  And the spitting?
0,season2,201rng,Ross, You gotta hear this story.
