,season,episode,friend,script
0,season3,301plf,Joey, I'm tellin' ya that girl totally winked at me.
0,season3,301plf,All," Did not, she did not wink at you...(sees that their sacred couch is
occupied by strangers)."
0,season3,301plf,Chandler," Huh. (They all leave, dejected)"
0,season3,301plf,Ross, I have to say <em>Tupolo Honey</em> by Van Morrison.
0,season3,301plf,Rachel, Nooo Way! The most romantic song ever is <em>The Way We Were</em>.
0,season3,301plf,Phoebe," See, I-I think that one that Elton John wrote for, um, that guy on <em>Who's
The Boss</em>."
0,season3,301plf,Rachel," What song was that, Pheebs?"
0,season3,301plf,Phoebe," (singing) <em>Hold me close, young Tony Dan-za</em>."
0,season3,301plf,Phoebe, Hi Monica!
0,season3,301plf,Ross, Hey Mon!
0,season3,301plf,Rachel, Hey Mon!
0,season3,301plf,Phoebe," Oh my God, has she slept at all?"
0,season3,301plf,Ross, Nope.
0,season3,301plf,Rachel," No, it's been three nights in a row."
0,season3,301plf,Ross," Yeah, she finally stopped crying yesterday, but then she found one of
Richard's cigar butts out on the terrace, so."
0,season3,301plf,Phoebe," Oh, okay that explains it. I got a call at two in the morning, but all I
could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a
opossum. But then I realized where would a mouse or a opossum get the money to make the
phone call."
0,season3,301plf,Chandler, Morning.
0,season3,301plf,Joey," Morning, hey, you made pancakes?"
0,season3,301plf,Chandler," Yeah, like there's any way I could ever do that."
0,season3,301plf,Janice," (entering and singing) Monica and Rachel had syrup, now I can get my man
to cheer up. (laughs hysterically) Good morning Joey."
0,season3,301plf,Joey, (sarcastically) Good morning.
0,season3,301plf,Chandler," Hey, you know what, here's a thought. Why don't you stay home from
work today and just hang out with me."
0,season3,301plf,Janice," Oh, I wish. Look, honey, you have that report to finish, and I gotta go
see my lawyer. "
0,season3,301plf,Chandler," I can not believe that I am going out with someone that is getting
divorced. I'm such a grown up."
0,season3,301plf,Janice," (laughs) I-I-I gotta go, I gotta go. Okay, not without a kiss."
0,season3,301plf,Chandler," Well, maybe I won't kiss you, and then you'll have to stay."
0,season3,301plf,Joey, (under his breath) Kiss her! Kiss her!
0,season3,301plf,Janice," I'll see you later, sweetie. Bye Joey."
0,season3,301plf,Joey, B-bye Janice. So when ya' dumpin' her.
0,season3,301plf,Chandler," Nope, not this time."
0,season3,301plf,Joey," Come on, quite yankin' me."
0,season3,301plf,Chandler, I'm not yanking you.
0,season3,301plf,Joey, This is Janice.
0,season3,301plf,Chandler," Yeah, I know. She makes me happy."
0,season3,301plf,Joey," Okay. All right. You look me in the eye and tell me, without blinking,
that you're not breaking up with her. No blinking."
