,season,episode,friend,script
0,season1,101pilot,Frannie," Hey, Monica! "
0,season1,101pilot,Monica," Hey Frannie, welcome back! How was Florida? "
0,season1,101pilot,Frannie," You had sex, didn't you? "
0,season1,101pilot,Monica, How do you do that?
0,season1,101pilot,Monica, You know Paul? 
0,season1,101pilot,Frannie," Paul the Wine Guy? Oh yeah, I know Paul. "
0,season1,101pilot,Monica, You mean you know Paul like I know Paul? 
0,season1,101pilot,Frannie," Are you kidding? I take credit for Paul. Y'know before me, there was no
snap in his turtle for two years. "
0,season1,101pilot,Joey, (sitting on the arm of the couch)Of course it was a line! 
0,season1,101pilot,Monica," Why?! Why? Why, why would anybody do something like that? "
0,season1,101pilot,Ross," I assume we're looking for an answer more sophisticated than 'to get you
into bed'. "
0,season1,101pilot,Phoebe," All right, c'mere, gimme your feet. (She starts massaging them.) "
0,season1,101pilot,Monica," I just thought he was nice, y'know? "
0,season1,101pilot,Joey," (bursts out laughing again) I can't believe you didn't know it was a line!
"
0,season1,101pilot,Rachel, Guess what? 
0,season1,101pilot,Ross, You got a job? 
0,season1,101pilot,Rachel," Are you kidding? I'm trained for nothing! I was laughed out of twelve
interviews today. "
0,season1,101pilot,Chandler, And yet you're surprisingly upbeat. 
0,season1,101pilot,Rachel," You would be too if you found John and David boots on sale, fifty
percent off! "
0,season1,101pilot,Chandler," Oh, how well you know me... "
0,season1,101pilot,Rachel," They're my new 'I don't need a job, I don't need my parents, I've got
great boots' boots! "
0,season1,101pilot,Monica, How'd you pay for them? 
0,season1,101pilot,Rachel," Uh, credit card. "
0,season1,101pilot,Monica, And who pays for that? 
0,season1,101pilot,Rachel, Um... my... father. 
0,season1,101pilot,Monica," C'mon, you can't live off your parents your whole life. "
0,season1,101pilot,Rachel, I know that. That's why I was getting married. 
0,season1,101pilot,Phoebe," Give her a break, it's hard being on your own for the first time. "
0,season1,101pilot,Rachel, Thank you. 
0,season1,101pilot,Phoebe," You're welcome. I remember when I first came to this city. I was
fourteen. My mom had just killed herself and my step-dad was back in prison, and I got
here, and I didn't know anybody. And I ended up living with this albino guy who was, like,
cleaning windshields outside port authority, and then he killed himself, and then I found
aromatherapy. So believe me, I know exactly how you feel. "
0,season1,101pilot,Ross, The word you're looking for is 'Anyway'... 
0,season1,101pilot,Monica," <font color=""#0000FF"">All right, </font>you ready?"
0,season1,101pilot,Rachel, I don't think so.
0,season1,101pilot,Ross," C'mon, cut. Cut, cut, cut,... "
0,season1,101pilot,All," Cut, cut, cut, cut, cut, cut, cut... (She cuts one of them and they cheer.)"
0,season1,101pilot,All," Cut, cut, cut, cut, cut, cut, cut.."
0,season1,101pilot,Monica," Well, that's it (To Ross) You gonna crash on the couch? "
0,season1,101pilot,Ross," No. No, I gotta go home sometime. "
0,season1,101pilot,Monica, You be okay? 
0,season1,101pilot,Ross, Yeah. 
0,season1,101pilot,Rachel," Hey Mon, look what I just found on the floor. (Monica smiles.) What? "
0,season1,101pilot,Monica," That's Paul's watch. You just put it back where you found it. Oh boy.
Alright. Goodnight, everybody. "
0,season1,101pilot,Ross," Mmm. (They both reach for the last cookie) Oh, no- "
0,season1,101pilot,Rachel, Sorry- 
0,season1,101pilot,Ross," No no no, go- "
0,season1,101pilot,Rachel," No, you have it, really, I don't want it- "
0,season1,101pilot,Ross, Split it? 
0,season1,101pilot,Rachel, Okay. 
0,season1,101pilot,Ross," Okay. (They split it.) You know you probably didn't know this, but back in
high school, I had a, um, major crush on you. "
0,season1,101pilot,Rachel, I knew. 
0,season1,101pilot,Ross," You did! Oh.... I always figured you just thought I was Monica's geeky
older brother. "
0,season1,101pilot,Rachel, I did. 
0,season1,101pilot,Ross," Oh. Listen, do you think- and try not to let my intense vulnerability
become any kind of a factor here- but do you think it would be okay if I asked you out?
Sometime? Maybe? "
0,season1,101pilot,Rachel," Yeah, maybe... "
0,season1,101pilot,Ross," Okay... okay, maybe I will... "
0,season1,101pilot,Rachel, Goodnight. 
0,season1,101pilot,Ross, Goodnight. 
0,season1,101pilot,Monica," See ya.... Waitwait, what's with you? "
0,season1,101pilot,Ross," I just grabbed a spoon. (Ross exits and Monica has no idea what that
means.) "
0,season1,101pilot,Joey, I can't believe what I'm hearing here. 
0,season1,101pilot,Phoebe, (sings) <em>I can't believe what I'm hearing here... </em>
0,season1,101pilot,Monica, What? I-I said you had a- 
0,season1,101pilot,Phoebe, (sings) <em>What I said you had... </em>
0,season1,101pilot,Monica, (to Phoebe) Would you stop? 
0,season1,101pilot,Phoebe," Oh, was I doing it again?"
0,season1,101pilot,Rachel, (walks up with a pot of coffee) Would anybody like more coffee? 
0,season1,101pilot,Chandler," Did you make it, or are you just serving it? "
0,season1,101pilot,Rachel, I'm just serving it. 
0,season1,101pilot,All," Yeah. Yeah, I'll have a cup of coffee. "
0,season1,101pilot,Chandler," Kids, new dream... I'm in Las Vegas. <font color=""#0000FF"">(Rachel
sits down to hear Chandler's dream.)</font>"
0,season1,101pilot,Rachel," Ugh. (To another customer that's leaving.) Excuse me, could you give
this to that guy over there? (Hands him the coffee pot.) Go ahead. (He does so.) Thank
you. (To the gang.) Sorry.  Okay, Las Vegas."
0,season1,102towsg,Joey," Yeah, right!.......Y'serious? "
0,season1,102towsg,Phoebe," Oh, yeah! "
0,season1,102towsg,Rachel, Everything you need to know is in that first kiss. 
0,season1,102towsg,Monica, Absolutely. 
0,season1,102towsg,Chandler," Yeah, I think for us, kissing is pretty much like an opening act,
y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd
comes out. "
0,season1,102towsg,Ross," Yeah, and-and it's not that we don't like the comedian, it's that-that...
that's not why we bought the ticket. "
0,season1,102towsg,Chandler," The problem is, though, after the concert's over, no matter how great
the show was, you girls are always looking for the comedian again, y'know? I mean, we're
in the car, we're fighting traffic... basically just trying to stay awake. "
0,season1,102towsg,Rachel," Yeah, well, word of advice"
0,season1,102towsg,Joey, (pause)....Are we still talking about sex?
0,season1,102towsg,Ross," No, it's good, it is good, it's just that- mm- doesn't she seem a little
angry? "
0,season1,102towsg,Marsha," Well, she has issues. "
0,season1,102towsg,Ross, Does she. 
0,season1,102towsg,Marsha," He's out banging other women over the head with a club, while she sits
at home trying to get the mastodon smell out of the carpet! "
